UserId,ItemId
0,1938 490 128 1197 2893 2983 1861 1307 2547 2312 2568 1386 697 275 1755 1812 1200 1113 1548 307 1135 745 2971 2086 2351 1260 2359 1857 1474 515 1529 1295 2107 3142 1034 3158 3186 2855 1194 2827 1293 2537 122 845 706 2173 830 2538
1,465 716 2885 3083 1352 2898 496 1868 2312 1907 1575 2013 1455 2547 898 865 3248 2974 1170 3181 3147 2100 1657 1770 968 3220 1113 2821 2022 780 18 2031 1793 1135 1593 1786 1579 945 380 443 2299 1156 584 1218 3086 1230 329 572 1268 862 3176 2328 988 3148 132 494 1560 3246 2340 683 269 2614 2862 1068 491 2521 402 965 1803 1258 2840 515 1558 1672 2174 505 3186 3079 1195 471 2291 2795 2726 1784 1200 2320 1128 346 783 100 2470 1567 2398 2006 2472 2875 48 2976 2551 2932 2883 2441 964 3059 1973 2308 1964 765 2937 3052 2044 1975 3064 2051 448 603
2,865 1575 2385 1156 1812 1199 2946 1505 3205 68 988 1386 1875 2022 607 465 2855 2750 2147 2885 2350 949 2470 800 2976 115 1402 2198 2807 1695 186 2163 808 964 457 3142 231 1673 277 770 502 1197 3037 2299 471 2902
3,2885 2351 3248 2470 2616 1386 2022 465 3209 1102 1755 1200 1357 3022 517 1060 783 1956 380
4,3083 333 697 1195 1023 987 1575 2316 1450 954 231 2392 2977 1480 1896 2406 1015 3210 1325 1432 1861 2474 2866 677 2306 938 243 1103 1598 1005 1336 2930 1797 1470 472 3194 2957 1054 1644 1755 2546 714 1474 655 358 3 1834 886 1769 2841 2182 3189 1268 2846 2072 163 271 325 2415 1185 1200 92 1985 1868 1455 275 865 719 698 2124 1681 3256 1250 2726 1569 2434 637 1127 678 2732 211 2007 2485 2523 3211 2904 2275 2455 3237 1092 1051 622 2678 181 1304 2949 3031 2237 294 2854 401 2233 0 1724 1939 310 783 2815 1722 3176 1614 700 2878 1150 2782 1262 2941 2156 1000 1871 1365 1125 147 1618 53 976 2966 2048 3030 531 832 2671 3079 170 3156 100 1567 2629 1761 3124 1119 939 2070 2444 2055 588 115 2971 490 234 2551 2553 486 2822 3175 1321 1730 2712 2688 3199 1170 105 280 157 2298 2607 62 757 1418 3187 3152 454 2350 1225 2067 2862 2531 2105
5,3041 2976 2940 3204 2385 2885 2527 454 2330 2149 2508 1560 331 2757 2645 1445 25 2384 1656 1501 1290 723 1735 2174 1575 505 75 1978 1014 71 706 3186 988 2833 719 2685 2455 845 2173 2973 468 197 1020 2309 2979 2011 745 485 1479 307 1260 2540 2882 1385 1120 525 3052 1297 2719 2867 1468 1268 2810 1861
6,1197 2470 603 2022 1193 2182 2810 1268 1241 964 1567 2320 1200 1770 2726 1784 783 454 3049 2350 115 280 100 346 1239 2551 2986 2472
7,2885 2024 333 2805 1239 2470 166 1755 783 1200 1504 2320 2726 100 1770 2133 2441 454 1939 1128 2044 2932 1964 2350 2099 2976 115 2472 91 48 1147 288 3040 471 505 1614 3176 2527 975 1012 2494 294 741 2661 1455 1575 275 2537 719 3092 637 1262 3187 3031 2904 1635 2392 2070 3124 676 1203 1399 2275 976 1958 1684 2611 2178 981 1752 2476 892 2791 371 2295 1225 384 3220 2504 1174 2971 1377 1617 1099 1113 107 1473 2821 490 2862 1056 1938 2688 1224 99 1685 1223 629 1141 509 2957 1207 2164 1585 1903 437 260 1226 733 1154 1597 3162 2983 525 885 498 1988 2944 2449 1584 2025 240 937 1416 1362
8,1812 2651 2940 2885 1193 1520 590 1048 2537 2463 865 1455 1681 1575 2339 2031 1755 167 1973 1861 553 2182 1213 2217 876 2499 598 163 1547 755 1055 1684 1868 2568 275 830 1200 1185 637 1325 3142 706 698 1189 2193 1474 2726 1784 1929 1092 2971 976 3040 2977 384 471 2661 3220 147 443 741 1365 2474 454 2939 1266 1871 2115 842 1378 2117 2521 1106 2525 2070 490 3199 372 869 1353 2966 593 1056 371 678 3237 1318 988 2470 1338 1130 571 2685 2862 2283
9,465 1001 1213 1868 865 1681 1575 275 637 1113 678 698 2117 783 1474 471 3027 2525 443 1915 243 3092 2174 334 1871 2193 1684 571 837 2521 1012 300 99 1224 2474 2470 3023 1170 1119 2431 2099 1130 1226 2900 1520 358 2044 545 2075 2374 1239 2298 1670 585 498 3149 231 2331 856 2330 1770 988 981 2977 3031 2460 1455 1648 2878 1388 3030 2107 1694 622 670 147 505 1496 1056 1307 457 1673 494 2299 1424 167 117 3182 3186 1295 441 1034 1195 2764 361 1942 1923 2855 1031 1184 3079 486 458 217 1768 2483 2291 248 589 1349 588 593 1750 3164 1602 1272 1781 954 825 2304 1069 1846 1731
10,651 2902 703 2395 2401 166 2480 1485 2380 465 2464 1193 697 2463 2312 2024 865 968 2177 1949 1307
11,2750 2855 208 2022 2351 719 1137 1868 2537 865 1200 2939 1681 2726 2661 1567 1203 1770 1784 2320 2463 783 3175 803 2976 2875 2883 2006 2350 3059 497 100 2937 346 964 3064 2472 2163 3052 2986 2652 1714 2051 1292 1612 423 1695 2111 2401 532 2387 1651 1706 1446 1967 2108 697 1013 465 2359 1386 988 2127 2299 2885 1875 924 34 2470 2343 1204 987 748 1818 2841 470 48 45 2258 3241 814 1498 2371 1371 2198 453 2714 1560 596 2995 214 3003 1773 265 2807 3233 1634
12,1686 1456 1156 1736 3080 1244 1575 905 1129 2811 231 2474 1268 405 2217 1755 1203 1474 2546 505 719 275 1754
13,525 916 1417 990 1056 91 954 539 905 3167 3201 2977 1896 2406 2413 215 2959 244 2887 3241 710 1327 1269 1518 2 2550 1855 2297 1797 836 2262
14,1200 1185 147 1268 1804 2958 964 2320 1770 3237 2726 1784 1871 61 1575 2499 1881 2964 2393 2810 2875 2616
15,1117 2307 1240 168 1578 2701 2885 2087 3250 706 2086 2841 1269 2908 655 2977 1137 2173 1063 2538
16,443 476 1156 1020 490 1673 1197 167 2299 1034 296 3037 117 1734 1343 2483 1942 1857 385 361 46 2997 331 1184 363 2208 3206 3068 1456 1237 1290 1603 1324 672 2757 1046 1423 1031 1422 2185 2855 2066 2928 938 3041 1295 1193 2537 865 2940 496 1575 1455 275 968 1868 2117 719 1754 1200 2193 637 3181 2823 2149 1770 945 1397 405 525 1123 593 571 1768 1292 1720 2330 1521 13 1655 1236 2333 919 2307 954 1182 1106 1743 2944 3211 1111 1414 2662 1508 2080 1853 2908 988 346 2350 2478 1797 964 1706 2930 2546 2514 832 505 1755 2645 2031 2845 1218 471 2508 1681 697 1386 465 1560 2841
17,956 465 2652 1200 954 2977 2115 1224 1268 2499 938 2889 1094 2217 335 1964 2810 1415 1755 655 1284 3142 2841 2182 1386 2022 1197 2885 2726 2688 2470 1818 1318 3059 803 2937 3209 748 470 2964 1313 2350 192 1990 2533 1239 1643 479 2933 2750 2058 3145 1602 1714 532 868 2428 1289 2963 2135 2311 3147 2111 1567 2971 1879 2302 650 637 2670 1770 1629 1332 779 3228 384 2173
18,2464 1353 1305 2986 1087 1198 1575 2180 1241 1023 3236 1677 259 2144 702 3178 1185 1889 1336 2554 412 2190 273 2549 2841 1506 2536 2221 1907 621 2174 2007 1693 749 457 1394 3071 1673 2622 231 3026 2222 299 3041 471 2351 957 396 1386 1942 2757 2127 1920 214 873 1949 1870 716 2940 333 3215 2547 496
19,2312 2750 1366 2855 2885 1226 479 1975 2392 1857 2460 1295 417 1386 2022 865 697 2039 968 1185 1868 975 1880 1112 750 2514 3193 496 1325 3026 1324 945 465 2206 1241 1956 517 2541 1474 231 505 3209 2726 1722 587 84 1007 1619 639 322 1681 1923 1369 1672 2190 486 457 471 2232 2997 2908 275 2827 1218 241 1223 2664 637 329 1505 2476 1132 573 2525 622 494 3040 1430 1262 1614 1156 1196 3186 1871 2099 2351 1102 1459 1942 1617 2946 1575 545 3118 147 1922
20,3022 2388 2103 1386 1900 2727 2464 1086 1868 3178 1474 702 1713 496 1681 2108 1512 1013 2940 3248 1102 2541 1956 1443 1193 2726 465 3209 521 2750 517 770 2012 2022 2320 609 1784 2359 861 1800 1770 957 18 296 1818 761 1579 1567 3236 3073 2885 1245 100 380 338 2182 3049 1991 870 385 2006 987 2616 2350 644 2810 1060 1491 1964 2924 454 2875 783 2470 2883 2639 1147 1128 2595 2994 2055 3229 232 3129 1983 1290 3130 796 2760 2198 748 803 942 470 1486 2693 2472
21,3041 3051 117 375 2351 559 712 2527 1868 1678 1969 2537 1293 1200 865 1455 719 1575 2837 1185 443 1681 2568 483 2833 976 1113 1092 2504 1755 275 1474 1502 1262 231 2971 2726 1203 471
22,3122 3022 106 999 204 2885 457 3236 2470 387 964 760 1677 2070 748 1922 2844 958 344 2955 909 2174 2869 663 1197 1536 2982 167 2781 2458 2855 938 1295 471 2221 770 1693 2514 299 2034 2208 2928 644 3068 2536 2127 2299 1230 385 86 2622 1324 3182 3207 2831 1430 2977 633 1195 1931 1001 1942 1098 486 1767 863 2350 1417 88 3206 672 3071 1423 3026 2994 334 992 1505 593 363 2508 1031 3167 2006 1048 1065 413 1756 1616 1454 2706 847 1858 1874 1563 2770 608 1083 2265 3190 3216 1791 1046 1130 1979 2772 1745
23,2470 443 3041 573 2460 2651 2931 2445 1575 147 3118 1480 545 525 3106 2206 1656 2474 1722 1474 1200 417 1403 2149 1023 1531 1765 290 1243 2232 865 2726 830 275 1681 2117 1185 489 1784 3049 2320 2531 3220
24,490 1600 704 199 2351 1895 2339 830 1575 1197 384 706 1295 2299 938 1923 2455 2997 3207 2066 2805 2664 167 2855 1756 3206 385 1034 1156 2208 644 1365 443 1871 837 655 217 1614 745 1130 1343 1158 842 2483 847 1290 1521 1765 2638 2902 1184 331 1423 669 1264 633 2602 1241 3078 3209 59 2878 2431 2087 1539 2724 961 786 2547 1868 2022 3092 2283 637 697 2809 553 651 1726 1861 2217 2565 1307 1734 1858 1573 3037 1942 1736 363 1745 1767 2757 2913 479 2563 1422 429 808 1735 2959 2322 1501 272 233 958 1044 2101 1172 1467 165 1898 628 389 1367 1901 327 1877 901 1746 2354 505 2661 2527 1795 294 13 397 1128 1195 571 1001 2595 919 2174 2494 346 939 905 1720 2685 35 2627 2282 836 1298 2330 3162
25,1803 1105 1218 35 465 3197 947 1350 1251 92 486 1575 505 1614 1304 762 1407 117 716 2574 496 2508 1363 862 2201 46 2645 2206 267 33 1832 1874 2328 1369 2840 784 814 2636 2138 1666 1907 291 3101 1637 968 1469 2122 175 849 3123 1230 2571 2013 767 2526 1557 2633 1826 1038 2514 2222 1424 457 3109 1923 1505 2281 1829 424 2534 3010 2946 695 2922 773 1297 1245 1357 204 728 2867 165 176 745 845 84 1466 697 2005 2831 3158 307 1260 1548 2018 863 3159 1689 422 162 760 331 2979 1884 296 1019 2011 4 2039 2549 333 3178 275 1072 2324 1417 1474 2117 2726 358 588 2883 1206 2940 3110 2991 1868 719 2833 1693 2022 3231 662 3031 2007 2845 1127 2527 1749 1134 3094 3086 3166 637 3246 780 2823 1861 359 676 374 960 2661 2651 414 2894 403 2869 1852 1604 1152 2339 1755 3229 1430 290 1605 3151 579 2855 2139 2178 1715 821 2885 735 2398 2685
